,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
1362,600865,百大集团,0.104,0.0462,2.0555,0.2154,26.6091
1363,2199,东晶电子,0.104,0.0414,16.1972,0.1965,19.7982
1364,600887,伊利股份,0.1037,0.1421,1.1672,0.2912,29.3765
1365,2708,光洋股份,0.1036,0.0645,12.5505,0.1806,20.3233
1366,603861,白云电器,0.1036,0.0457,1.1269,0.1149,13.7043
1367,600761,安徽合力,0.1036,0.1226,1.6745,0.3785,39.6675
1368,525,红太阳,0.1034,0.0422,0.7281,0.0768,8.4375
1369,601899,紫金矿业,0.1033,0.1093,3.0067,0.189,33.9116
1370,603976,正川股份,0.1032,0.0494,0.6389,0.4871,50.4691
1371,603129,春风动力,0.1032,0.1115,1.9254,0.2397,24.3308
1372,603197,保隆科技,0.1031,0.0888,0.9551,0.2229,29.1774
1373,2669,康达新材,0.103,0.0321,1.3039,0.4363,44.4199
1374,300124,汇川技术,0.1029,0.0543,0.4505,0.148,15.5777
1375,300119,瑞普生物,0.1027,0.0368,0.8623,0.1438,16.3659
1376,600650,锦江投资,0.1026,0.0535,0.7932,0.2718,43.6275
1377,603078,江化微,0.1026,0.0412,0.677,0.27,47.38
1378,719,中原传媒,0.1025,0.0764,1.1961,0.2236,26.7375
1379,300723,一品红,0.1024,0.0954,0.913,0.3785,136.112
1380,300723,一品红,0.1024,0.0954,0.913,0.3785,136.112
1381,603558,健盛集团,0.1023,0.0354,0.885,0.2286,25.9171
1382,2748,世龙实业,0.1023,0.0893,0.8162,0.5701,67.6094
1383,300584,海辰药业,0.1023,0.0736,0.7097,0.4062,44.3385
1384,928,中钢国际,0.1022,0.0593,1.8806,0.0906,9.1754
1385,587,金洲慈航,0.1021,0.0331,1.0758,0.0456,6.7685
1386,603557,起步股份,0.1021,0.0791,0.7034,0.4133,42.4252
1387,600348,阳泉煤业,0.1021,0.0684,1.695,0.1089,12.3447
1388,300043,星辉娱乐,0.102,0.047,1.1356,0.0835,18.4736
1389,600271,航天信息,0.1019,0.1555,1.2433,0.4202,61.2519
1390,600114,东睦股份,0.1018,0.0549,0.5754,0.313,34.3897
1391,2895,川恒股份,0.1018,0.05,0.9036,0.2294,30.9618
1392,603345,安井食品,0.1018,0.1091,1.7524,0.2278,23.7301
1393,2377,国创高新,0.1017,0.0392,5.4948,0.1535,15.5231
1394,422,*ST宜化,0.1017,0.0374,,0.0392,4.7555
1395,300246,宝莱特,0.1016,0.0904,1.0225,0.2938,31.4778
1396,2810,山东赫达,0.1015,0.0596,1.4174,0.1539,20.4622
1397,333,美的集团,0.1015,0.0985,1.3133,0.148,20.5242
1398,2624,完美世界,0.1014,0.0485,0.551,0.1032,15.4232
1399,902,新洋丰,0.1013,0.1047,1.323,0.3146,32.7871
1400,603968,醋化股份,0.1012,0.0929,1.0454,0.3522,45.7428
1401,607,华媒控股,0.1011,0.0579,0.8815,0.1549,16.1809
1402,600690,青岛海尔,0.101,0.1062,1.7772,0.1536,20.9203
1403,2606,大连电瓷,0.1009,0.057,1.3779,0.1456,17.7374
1404,601699,潞安环能,0.1008,0.0357,0.9624,0.0514,6.9094
1405,2328,新朋股份,0.1007,0.0995,2.319,0.3453,35.9367
1406,603880,南卫股份,0.1007,0.0598,1.0606,0.1725,17.8847
1407,300543,朗科智能,0.1005,0.1081,1.4848,0.2659,26.7145
1408,2239,奥特佳,0.1003,0.06,1.4188,0.1499,17.5508
1409,603038,华立股份,0.1003,0.0569,0.7169,0.3174,38.5439
1410,601700,风范股份,0.1003,0.0491,1.6076,0.1449,14.8312
1411,2440,闰土股份,0.1002,0.0676,0.6432,0.3477,42.6485
1412,300227,光韵达,0.1002,0.0485,0.8772,0.1465,16.1879
1413,603226,菲林格尔,0.1002,0.0813,0.9968,0.3176,32.7146
1414,300659,中孚信息,0.1002,0.0515,0.5795,0.2073,23.5903
1415,2097,山河智能,0.1,0.0321,1.8933,0.0525,7.5283
1416,300712,永福股份,0.0999,0.0469,0.7323,0.1699,16.9857
1417,600211,西藏药业,0.0999,0.0393,0.3904,0.3213,34.6082
1418,600094,大名城,0.0998,0.0179,0.6883,0.0231,3.4981
1419,2694,顾地科技,0.0997,0.0732,1.7533,0.1307,13.5287
1420,603665,康隆达,0.0997,0.0667,1.0372,0.3643,40.329
1421,300259,新天科技,0.0997,0.0322,0.4309,0.206,21.7381
1422,2057,中钢天源,0.0996,0.0701,0.8486,0.2917,45.6934
1423,600081,东风科技,0.0996,0.1119,2.1922,0.1671,16.9554
1424,2683,宏大爆破,0.0996,0.0626,2.1992,0.1297,16.1125
1425,300383,光环新网,0.0995,0.0382,0.9132,0.1072,29.9991
1426,300342,天银机电,0.0992,0.0434,0.4021,0.191,19.8658
1427,600083,博信股份,0.0992,0.0821,0.9432,0.2082,21.0013
1428,300492,山鼎设计,0.0992,0.0383,0.7214,0.2016,24.2263
1429,600835,上海机电,0.0991,0.0576,0.8174,0.0915,9.3166
1430,603798,康普顿,0.0989,0.0857,0.7411,0.4677,52.5911
1431,600803,新奥股份,0.0987,0.0459,1.43,0.0633,9.4943
